OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY
125315,DOLORES,CONTRATO DE COMPRAVENTA A PRECIO ALZADO,VIGENTE,"COMPAÑIA MINERA SERRANA, S.A. DE C.V. AHORA; GRUPO SERRANA, S.A. DE C.V.","MINERA HOCHSCHILD MEXICO, S.A. DE C.V.",25/02/1961,24/02/2061,,
151463,QUIEN SABE NO. 2,,CANCELADO,,,22/05/1969,21/05/2019,,
156924,LAS CHISPAS,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,PEDRO ANTONIO GOYA ESPINA,"GRUPO BAREYO, S.A. DE C.V.",12/05/1972,11/05/2022,,
157244,PADRE KINO,CONVENIO DE TERMINACIÓN DE CONTRATO,VIGENTE,"COMPAÑIA FRESNILLO, S.A. DE C.V.","MINERA CACHIME, S.A. DE C.V. SE EXTINGUIO AL FUSIONARSE EN COMPAÑIA MINERA LA PARREÑA, S.A. DE C.V.",18/07/1972,17/07/2022,,
158954,EL HUECO,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,"CIA. MINERA NACOZARI, S.A. DE C.V.","COAMPAÑIA MINERA PEÑACOBRE, S.A.",14/08/1973,13/08/2023,,
161838,EL PICACHO,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,RAFAEL CORDOVA RIVAS,"CIA. MINERAL EL CORONEL, S.A. DE C.V.",04/07/1975,03/07/2025,,
163697,RAUL No. 2,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,"COAMPAÑIA MINERA PEÑACOBRE, S.A.","COMPAÑIA INTERNACIONAL MINERA, S.A. DE C.V.",13/11/1978,12/11/2028,,
165535,EL GUERIGUITO,CESIÓN DE DERECHOS CON RESERVA DE DOMINIO TOTAL ONEROSA,VIGENTE,"CIA. MINERA EL LAUREL, S.A. DE C.V.",ARTURO MARCIANO MORALES DOMINGUEZ,31/10/1979,30/10/2029,,
165538,EL SARAPE,CREDITO HIPOTECARIO,VIGENTE,"MEXICANA DE COBRE, S.A. DE C.V.",NACIONAL FINANCIERA S.A.,31/10/1979,30/10/2029,,
166174,TRES AMIGOS,CESIÓN DE DERECHOS PARCIAL ONEROSA,VIGENTE,RAUL ERNESTO SEYM GUTIERREZ,HECTOR PAVLOVICH CAMOU,09/04/1980,08/04/2005,,
166312,KINO 3,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,"MINERA TECK, S.A. DE C.V.","MINERA TLALI, S.A.P.I. DE C.V. (INSC. PROV. 08/06 AL 06/12/2017)",26/05/1980,25/05/2030,,
166313,KINO 2,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,"MINERA TECK, S.A. DE C.V.","MINERA TLALI, S.A.P.I. DE C.V. (INSC. PROV. 08/06 AL 06/12/2017)",26/05/1980,25/05/2030,,
166314,KINO 4,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,"MINERA TECK, S.A. DE C.V.","MINERA TLALI, S.A.P.I. DE C.V. (INSC. PROV. 08/06 AL 06/12/2017)",26/05/1980,25/05/2030,,
166315,KINO 8,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,"MINERA TECK, S.A. DE C.V.","MINERA TLALI, S.A.P.I. DE C.V. (INSC. PROV. 08/06 AL 06/12/2017)",26/05/1980,25/05/2030,,
166316,KINO 9,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,"MINERA TECK, S.A. DE C.V.","MINERA TLALI, S.A.P.I. DE C.V. (INSC. PROV. 08/06 AL 06/12/2017)",26/05/1980,25/05/2030,,
166317,KINO 10,CESIÓN DE DERECHOS TOTAL ONEROSA,VIGENTE,"MINERA TECK, S.A. DE C.V.","MINERA TLALI, S.A.P.I. DE C.V. (INSC. PROV. 08/06 AL 06/12/2017)",26/05/1980,25/05/2030,,
